City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
281,Kamenka,RU,2022-02-01 01:05:20,51.3223,42.7678,31.75,87,100,16.89
282,Rio Rancho,US,2022-02-01 01:04:23,35.2334,-106.6645,51.94,20,0,5.99
283,Waddan,LY,2022-02-01 01:05:21,29.1614,16.139,49.73,44,38,7.85
284,Korla,CN,2022-02-01 00:55:29,41.7597,86.1469,21.45,56,9,1.52
285,Bo Rai,TH,2022-02-01 01:05:21,12.5728,102.5371,82.85,82,29,1.39
286,Cayenne,GF,2022-02-01 01:05:22,4.9333,-52.3333,81.09,83,75,7.0
287,Payo,ID,2022-02-01 01:05:22,-3.7508,103.6372,75.96,89,100,1.12
288,Sarankhola,BD,2022-02-01 01:05:23,22.3082,89.7897,59.11,82,52,2.98
289,Portsmouth,GB,2022-02-01 01:01:38,50.799,-1.0913,46.92,92,100,5.99
290,Lompoc,US,2022-02-01 01:05:23,34.6391,-120.4579,64.11,77,0,11.5
291,Gao,ML,2022-02-01 01:05:23,16.6362,1.637,62.76,8,95,14.47
292,Roma,US,2022-02-01 01:05:24,43.2128,-75.4557,19.26,76,0,0.0
293,Bambous Virieux,MU,2022-02-01 01:05:24,-20.3428,57.7575,79.21,70,100,23.8
