City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
60,Poceirao,PT,38.831,-8.7937,56.28,89,97,3.24,overcast clouds
61,Busselton,AU,-33.65,115.3333,101.05,33,49,14.79,scattered clouds
62,Aykhal,RU,66.0,111.5,-17.7,100,100,2.59,overcast clouds
63,Svetlogorsk,BY,52.6333,29.7333,3.43,100,80,4.38,broken clouds
64,Sokolow Podlaski,PL,52.4068,22.2531,34.09,98,100,8.86,light snow
65,Kahului,US,20.8947,-156.47,79.86,64,0,17.27,clear sky
66,Esperance,AU,-33.8667,121.9,85.84,47,4,11.77,clear sky
67,Makakilo City,US,21.3469,-158.0858,79.12,47,0,9.22,clear sky
68,Thompson,CA,55.7435,-97.8558,-20.04,69,0,5.75,clear sky
69,Qaanaaq,GL,77.484,-69.3632,-12.75,55,99,8.59,overcast clouds
70,New Norfolk,AU,-42.7826,147.0587,74.66,35,3,3.0,clear sky
71,Mogadishu,SO,2.0371,45.3438,75.07,88,20,10.36,few clouds
72,Kapaa,US,22.0752,-159.319,75.52,66,0,1.01,clear sky
73,Cabo San Lucas,MX,22.8909,-109.9124,67.51,56,34,5.64,scattered clouds
74,Todos Santos,MX,23.45,-110.2167,67.01,61,13,11.95,few clouds
75,Lavrentiya,RU,65.5833,-171.0,1.96,55,0,22.73,clear sky
76,Bluff,NZ,-46.6,168.3333,52.81,84,100,5.46,light rain
77,Khatanga,RU,71.9667,102.5,-31.99,100,90,4.36,overcast clouds
78,Regen,DE,48.9667,13.1333,39.9,94,98,3.94,overcast clouds
79,Maneadero,MX,31.7167,-116.5667,55.18,35,0,5.93,clear sky
80,Sitka,US,57.0531,-135.33,46.29,81,100,24.16,moderate rain
81,Katsuura,JP,35.1333,140.3,46.42,74,100,9.95,overcast clouds
82,Bonthe,SL,7.5264,-12.505,74.5,91,1,4.99,clear sky
83,Margate,GB,51.3813,1.3862,49.96,86,98,22.17,overcast clouds
84,Upernavik,GL,72.7868,-56.1549,4.84,68,100,5.66,overcast clouds
85,Atuona,PF,-9.8,-139.0333,78.96,71,3,17.87,clear sky
86,Pierre,US,44.3683,-100.351,15.28,52,0,5.75,clear sky
87,Clyde River,CA,70.4692,-68.5914,-7.37,84,100,34.52,heavy snow
88,Ponta Do Sol,PT,32.6667,-17.1,67.01,66,19,3.53,few clouds
89,Werda,BW,-25.2667,23.2833,68.02,80,100,6.64,overcast clouds
90,Adrar,MR,20.5022,-10.0711,59.36,22,0,9.95,clear sky
91,Antofagasta,CL,-23.65,-70.4,65.48,78,5,3.13,clear sky
92,Lorengau,PG,-2.0226,147.2712,84.43,62,100,9.15,overcast clouds
93,Along,IN,28.1667,94.7667,64.6,48,29,1.05,scattered clouds
94,Port Alfred,ZA,-33.5906,26.891,69.84,75,98,15.48,overcast clouds
95,Padang,ID,-0.9492,100.3543,84.25,72,84,3.91,broken clouds
